instrument_manufacturer,instrument_model,instrument_sn,station,deployment_time,retrieval_time,comment,correction
Onset,Tidbit MX2203,21153572,cortes_bay,2022-04-15T12:00:00 -07:00,2022-09-01T00:00:00 -07:00,,
Onset,Tidbit MX2203,21291007,cowichan_bay,2022-04-15T12:00:00 -07:00,2022-09-01T00:00:00 -07:00,,
Onset,Tidbit MX2203,21291010,descanso_bay,,,,
Onset,Tidbit MX2203,21234319,false_bay,2022-04-21T00:00:00 -07:00,2022-09-01T00:00:00 -07:00,,
Onset,Tidbit MX2203,21234321,ford_cove,2022-04-15T12:00:00 -07:00,2022-09-01T00:00:00 -07:00,,
Onset,Tidbit MX2203,21255251,heather_marina,2022-04-15T14:00:00 -07:00,2022-09-01T00:00:00 -07:00,,
Onset,Tidbit MX2203,21234298,heriot_bay,2022-04-15T12:00:00 -07:00,2022-09-01T00:00:00 -07:00,,
Onset,Tidbit MX2203,21291013,hope_bay,2022-04-16T19:41:00 -07:00,2022-09-01T00:00:00 -07:00,,
Onset,Tidbit MX2203,21234331,horseshoe_bay,2022-04-15T12:00:00 -07:00,2022-08-31T09:00:00 -07:00,,
Onset,Tidbit MX2203,,IOS,,,,
Onset,Tidbit MX2203,21291004,miners_bay,2022-04-15T12:00:00 -07:00,2022-09-01T00:00:00 -07:00,,
Onset,Tidbit MX2203,21255261,PBS,2022-04-19T12:00:00 -07:00,2022-09-01T00:00:00 -07:00,,
Onset,Tidbit MX2203,21153573,PSEC,2022-04-15T12:00:00 -07:00,2022-09-01T00:00:00 -07:00,,
Onset,Tidbit MX2203,21291006,retreat_cove,2022-04-15T16:00:00 -07:00,2022-09-01T00:00:00 -07:00,,
Onset,Tidbit MX2203,21234322,silva_bay,2022-04-07T12:00:00 -07:00,2022-09-01T00:00:00 -07:00,,
Onset,Tidbit MX2203,21234352,whaler_bay,2022-04-15T12:00:00 -07:00,2022-09-01T00:00:00 -07:00,,
Onset,Tidbit MX2203,,winter_cove,,,,
Onset,Tidbit MX2204,21255266,bamfield,2023-05-05T08:50:00 -07:00,2022-09-01T00:00:00 -07:00,,
Onset,Tidbit MX2205,21234302,baynes_sound,2023-04-15T12:00:00 -07:00,2023-06-21T03:15:00-07:00,,
Onset,Tidbit MX2206,21291010,campbell_river,2023-04-15T12:00:00 -07:00,2023-09-01T00:00:00 -07:00,,
Onset,Tidbit MX2207,21153572,cortes_bay,2023-04-15T12:00:00 -07:00,2023-09-01T00:00:00 -07:00,,
Onset,Tidbit MX2208,21291007,cowichan_bay,2023-04-15T12:00:00 -07:00,2023-09-01T00:00:00 -07:00,,
Onset,Tidbit MX2209,21234309,descanso_bay,2023-04-16T18:40:00 -07:00,2023-09-01T00:00:00 -07:00,,
Onset,Tidbit MX2210,21255264,false_bay,,2023-09-01T00:00:00 -07:00,,
Onset,Tidbit MX2211,21234321,ford_cove,2023-04-15T12:00:00 -07:00,2023-09-01T00:00:00 -07:00,,
Onset,Tidbit MX2212,,gibsons_harbour,,,lost,
Onset,Tidbit MX2213,21291008,heather_marina,,2023-09-01T00:00:00 -07:00,,
Onset,Tidbit MX2214,,heriot_bay,,,lost,
Onset,Tidbit MX2215,21291013,hope_bay,2023-04-15T12:00:00 -07:00,2023-09-01T00:00:00 -07:00,,
Onset,Tidbit MX2216,21234331,horseshoe_bay,2023-04-15T12:00:00 -07:00,2023-09-01T00:00:00 -07:00,,
Onset,Tidbit MX2217,21291011,indian_arm,2023-01-01T12:00:00 -07:00,2023-09-01T00:00:00 -07:00,,
Onset,Tidbit MX2219,21234295,james_island_pier,,2023-09-01T00:00:00 -07:00,,
Onset,Tidbit MX2220,,lyall_harbour,,,lost,
Onset,Tidbit MX2221,21255253,miners_bay,2023-04-15T12:00:00 -07:00,2023-09-01T00:00:00 -07:00,,
Onset,Tidbit MX2222,21234311,PBS,2023-04-15T12:00:00 -07:00,2023-09-01T00:00:00 -07:00,,
Onset,Tidbit MX2223,,PSEC,,,,
Onset,Tidbit MX2224,21234297,pender_harbour,2023-04-15T12:00:00 -07:00,2023-09-01T00:00:00 -07:00,,
Onset,Tidbit MX2226,,powell_river,,,,
Onset,Tidbit MX2227,,prince_rupert,,,,
Onset,Tidbit MX2228,,retreat_cove,,,,
Onset,Tidbit MX2229,,sechelt_inlet,,,lost,
Onset,Tidbit MX2230,,silva_bay,2023-04-15T12:00:00 -07:00,2023-09-01T00:00:00 -07:00,,
Onset,Tidbit MX2231,21255255,sooke,2023-05-11T14:30:00 -07:00,2023-08-22T09:40:00 -07:00,,
Onset,Tidbit MX2232,21234320,surge_narrows,2023-04-15T12:00:00 -07:00,2023-09-01T00:00:00 -07:00,,
Onset,Tidbit MX2233,,whaler_bay,,,,
